,Date,Time,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Referee,Sh,SoT,Dist,FK,PK,PKatt,Team,Opp,Hour,Day,GF_rolling,GA_rolling,xG_rolling,xGA_rolling,Poss_rolling,Sh_rolling,SoT_rolling,Dist_rolling,FK_rolling,PK_rolling,PKatt_rolling
71,2024-10-06,16:30,1,1,3.0,2.0,17,1.8,1.3,41.0,6,11.0,4.0,14.8,0.0,0,0,4,17,16,6,1.3333333333333333,2.0,1.2333333333333334,1.9666666666666668,65.66666666666667,16.666666666666668,4.666666666666667,18.666666666666668,1.6666666666666667,0.0,0.0
72,2024-10-19,15:00,0,1,1.0,0.0,14,1.1,2.0,40.0,13,10.0,5.0,16.0,0.0,0,0,4,14,15,5,2.3333333333333335,2.6666666666666665,1.3,2.3,56.666666666666664,13.333333333333334,4.0,17.433333333333334,1.0,0.0,0.0
73,2024-10-26,15:00,1,0,2.0,2.0,19,1.3,1.3,51.0,11,19.0,6.0,17.5,1.0,0,0,4,19,15,5,2.0,2.0,1.3333333333333333,2.4999999999999996,46.666666666666664,12.0,4.666666666666667,16.96666666666667,0.6666666666666666,0.0,0.0
74,2024-11-02,15:00,0,0,1.0,2.0,11,1.0,1.6,51.0,21,13.0,5.0,19.6,2.0,0,0,4,11,15,5,2.0,1.3333333333333333,1.4000000000000001,1.533333333333333,44.0,13.333333333333334,5.0,16.099999999999998,0.3333333333333333,0.0,0.0
75,2024-11-09,17:30,1,1,2.0,1.0,12,2.3,2.1,40.0,16,10.0,4.0,13.5,1.0,0,0,4,12,17,5,1.3333333333333333,1.3333333333333333,1.1333333333333335,1.633333333333333,47.333333333333336,14.0,5.333333333333333,17.700000000000003,1.0,0.0,0.0
76,2024-11-23,15:00,0,1,2.0,1.0,2,0.9,1.6,45.0,18,6.0,4.0,13.9,0.0,0,0,4,2,15,5,1.6666666666666667,1.6666666666666667,1.5333333333333332,1.6666666666666663,47.333333333333336,14.0,5.0,16.86666666666667,1.3333333333333333,0.0,0.0
77,2024-11-29,20:00,1,0,1.0,1.0,16,1.7,1.0,53.0,14,22.0,5.0,16.5,0.0,0,0,4,16,20,4,1.6666666666666667,1.3333333333333333,1.4000000000000001,1.7666666666666664,45.333333333333336,9.666666666666666,4.333333333333333,15.66666666666667,1.0,0.0,0.0
78,2024-12-05,19:30,0,0,1.0,3.0,8,1.4,1.1,57.0,13,13.0,3.0,16.7,1.0,0,0,4,8,19,3,1.6666666666666667,1.0,1.6333333333333335,1.5666666666666664,46.0,12.666666666666666,4.333333333333333,14.633333333333335,0.3333333333333333,0.0,0.0
79,2024-12-08,14:00,0,0,2.0,2.0,10,1.5,1.3,44.0,18,16.0,7.0,19.0,2.0,0,0,4,10,14,6,1.3333333333333333,1.6666666666666667,1.3333333333333333,1.2333333333333332,51.666666666666664,13.666666666666666,4.0,15.700000000000001,0.3333333333333333,0.0,0.0
80,2024-12-15,14:00,1,0,1.0,3.0,6,1.0,2.2,64.0,11,17.0,5.0,20.6,1.0,0,0,4,6,14,6,1.3333333333333333,2.0,1.5333333333333334,1.133333333333333,51.333333333333336,17.0,5.0,17.400000000000002,1.0,0.0,0.0
